,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel
,Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released,Unnamed: 9_level_1
0,Celeron G5900,Comet Lake,2,3.4 GHz,Socket 1200,14 nm,2MB,58 W,"Apr 30th, 2020",
1,Celeron G5920,Comet Lake,2,3.5 GHz,Socket 1200,14 nm,2MB,58 W,"Apr 30th, 2020",
2,Core i3-10100,Comet Lake,4 / 8,3.6 to 4.3 GHz,Socket 1200,14 nm,6MB,65 W,"Apr 30th, 2020",
3,Core i3-10300,Comet Lake,4 / 8,3.7 to 4.4 GHz,Socket 1200,14 nm,8MB,62 W,"Apr 30th, 2020",
4,Core i3-10320,Comet Lake,4 / 8,3.8 to 4.6 GHz,Socket 1200,14 nm,8MB,91 W,"Apr 30th, 2020",
5,Core i3-10350K,Comet Lake,4 / 8,4.1 to 4.8 GHz,Socket 1200,14 nm,8MB,91 W,"Apr 30th, 2020",
6,Core i3-1110G4,Tiger Lake-U,2 / 4,1.8 to 3.9 GHz,BGA 1598,10 nm,6MB,15 W,"Sep 2nd, 2020",
7,Core i3-1115G4,Tiger Lake-U,2 / 4,3 to 4.1 GHz,BGA 1449,10 nm,6MB,28 W,"Sep 2nd, 2020",
8,Core i3-1120G4,Tiger Lake-U,4 / 8,1.1 to 3.5 GHz,BGA 1598,10 nm,8MB,15 W,"Sep 2nd, 2020",
9,Core i3-1125G4,Tiger Lake-U,4 / 8,2 to 3.7 GHz,BGA 1449,10 nm,8MB,28 W,"Sep 2nd, 2020",
10,Core i5-10200H,Comet Lake-H,4 / 8,2.4 to 4.1 GHz,BGA 1440,14 nm,6MB,45 W,"Sep 17th, 2020",
11,Core i5-10300H,Comet Lake-H,4 / 8,2.5 to 4.5 GHz,BGA 1440,14 nm,6MB,45 W,"Sep 17th, 2020",
12,Core i5-1038NG7,Ice Lake-U,4 / 8,2 to 3.8 GHz,BGA 1526,10 nm,6MB,28 W,"May 4th, 2020",
13,Core i5-10400,Comet Lake,6 / 12,2.9 to 4.3 GHz,Socket 1200,14 nm,12MB,65 W,"Apr 30th, 2020",
14,Core i5-10400F,Comet Lake,6 / 12,2.9 to 4.3 GHz,Socket 1200,14 nm,12MB,65 W,"Apr 30th, 2020",
15,Core i5-10400H,Comet Lake-H,4 / 8,2.6 to 4.6 GHz,BGA 1440,14 nm,6MB,45 W,"Apr 2nd, 2020",
16,Core i5-10500,Comet Lake,6 / 12,3.1 to 4.5 GHz,Socket 1200,14 nm,12MB,65 W,"Apr 30th, 2020",
17,Core i5-10600,Comet Lake,6 / 12,3.3 to 4.8 GHz,Socket 1200,14 nm,12MB,65 W,"Apr 30th, 2020",
18,Core i5-10600K,Comet Lake,6 / 12,4.1 to 4.8 GHz,Socket 1200,14 nm,12MB,125 W,"Apr 30th, 2020",
19,Core i5-10600KF,Comet Lake,6 / 12,4.1 to 4.8 GHz,Socket 1200,14 nm,12MB,95 W,"Apr 30th, 2020",
20,Core i5-1130G7,Tiger Lake-U,4 / 8,1.1 to 4 GHz,BGA 1598,10 nm,8MB,15 W,"Sep 2nd, 2020",
21,Core i5-1135G7,Tiger Lake-U,4 / 8,2.4 to 4.2 GHz,BGA 1449,10 nm,8MB,28 W,"Sep 2nd, 2020",
22,Core i5-1145G7,Tiger Lake-U,4 / 8,2.6 to 4.4 GHz,BGA 1449,10 nm,8MB,28 W,"Sep 2nd, 2020",
23,Core i7-10610U,Comet Lake-U,4 / 8,1.8 to 4.9 GHz,BGA 1440,14 nm,8MB,25 W,"Apr 2nd, 2020",
24,Core i7-10700,Comet Lake,8 / 16,2.9 to 4.8 GHz,Socket 1200,14 nm,16MB,65 W,"Apr 30th, 2020",
25,Core i7-10700F,Comet Lake,8 / 16,2.9 to 4.8 GHz,Socket 1200,14 nm,16MB,65 W,"Apr 30th, 2020",
26,Core i7-10700K,Comet Lake,8 / 16,3.8 to 5.1 GHz,Socket 1200,14 nm,16MB,125 W,"Apr 30th, 2020",
27,Core i7-10700KF,Comet Lake,8 / 16,3.8 to 5.1 GHz,Socket 1200,14 nm,16MB,125 W,"Apr 30th, 2020",
28,Core i7-10750H,Comet Lake-H,6 / 12,2.6 to 5 GHz,BGA 1440,14 nm,12MB,45 W,"Apr 2nd, 2020",
29,Core i7-10810U,Comet Lake-U,6 / 12,1.1 to 4.9 GHz,BGA 1440,14 nm,12MB,25 W,"Apr 2nd, 2020",
30,Core i7-10850H,Comet Lake-H,6 / 12,2.7 to 5.1 GHz,BGA 1440,14 nm,12MB,45 W,"Apr 2nd, 2020",
31,Core i7-10870H,Comet Lake-H,8 / 16,2.2 to 5 GHz,BGA 1440,14 nm,16MB,45 W,"Sep 17th, 2020",
32,Core i7-10875H,Comet Lake-H,8 / 16,2.1 to 5.1 GHz,BGA 1440,14 nm,16MB,45 W,"Apr 2nd, 2020",
33,Core i7-1160G7,Tiger Lake-U,4 / 8,1.2 to 4.4 GHz,BGA 1598,10 nm,12MB,15 W,"Sep 2nd, 2020",
34,Core i7-1165G7,Tiger Lake-U,4 / 8,2.8 to 4.7 GHz,BGA 1449,10 nm,12MB,28 W,"Sep 2nd, 2020",
35,Core i7-1185G7,Tiger Lake-U,4 / 8,3 to 4.8 GHz,BGA 1449,10 nm,12MB,28 W,"Sep 2nd, 2020",
36,Core i9-10800F,Comet Lake,10 / 20,2.7 to 5 GHz,Socket 1200,14 nm,20MB,65 W,"Apr 30th, 2020",
37,Core i9-10850K,Comet Lake,10 / 20,3.6 to 5.2 GHz,Socket 1200,14 nm,20MB,125 W,"Jul 27th, 2020",
38,Core i9-10885H,Comet Lake-H,8 / 16,2.4 to 5.3 GHz,BGA 1440,14 nm,16MB,45 W,"Apr 2nd, 2020",
39,Core i9-10900,Comet Lake,10 / 20,2.8 to 5.2 GHz,Socket 1200,14 nm,20MB,65 W,"Apr 30th, 2020",
40,Core i9-10900F,Comet Lake,10 / 20,2.8 to 5.2 GHz,Socket 1200,14 nm,20MB,65 W,"Apr 30th, 2020",
41,Core i9-10900K,Comet Lake,10 / 20,3.7 to 5.3 GHz,Socket 1200,14 nm,20MB,125 W,"Apr 30th, 2020",
42,Core i9-10900KF,Comet Lake,10 / 20,3.7 to 5.3 GHz,Socket 1200,14 nm,20MB,125 W,"Apr 30th, 2020",
43,Core i9-10980HK,Comet Lake-H,8 / 16,2.4 to 5.3 GHz,BGA 1440,14 nm,16MB,45 W,"Apr 2nd, 2020",
44,Core i9-10990XE,Cascade Lake-X,22 / 44,4 to 5 GHz,Socket 2066,14 nm,30.25MB,380 W,Never Released,
45,Pentium Gold G6400,Comet Lake,2 / 4,4 GHz,Socket 1200,14 nm,4MB,58 W,"Apr 30th, 2020",
46,Pentium Gold G6500,Comet Lake,2 / 4,4.1 GHz,Socket 1200,14 nm,4MB,58 W,"Apr 30th, 2020",
47,Pentium Gold G6600,Comet Lake,2 / 4,4.2 GHz,Socket 1200,14 nm,4MB,58 W,"Apr 30th, 2020",
48,Xeon W-1290,Comet Lake,10 / 20,3.2 to 5.2 GHz,Socket 1200,14 nm,20MB,80 W,"May 13th, 2020",
49,Xeon W-1290P,Comet Lake,10 / 20,3.7 to 5.3 GHz,Socket 1200,10 nm,20MB,125 W,"May 13th, 2020",
