,AMD,AMD,AMD,AMD
,Name,Cores,Socket,Released
0,Athlon Gold 7220U,2 / 4,Socket FP6,"Sep 20th, 2022"
1,Athlon Silver 7120U,2,Socket FP6,"Sep 20th, 2022"
2,EPYC 7373X,16 / 32,Socket SP3,"Mar 22nd, 2022"
3,EPYC 7473X,24 / 48,Socket SP3,"Mar 22nd, 2022"
4,EPYC 7573X,32 / 64,Socket SP3,"Mar 22nd, 2022"
5,EPYC 7773X,64 / 128,Socket SP3,"Mar 22nd, 2022"
6,EPYC 9124,16 / 32,Socket SP5,"Nov 10th, 2022"
7,EPYC 9174F,16 / 32,Socket SP5,"Nov 10th, 2022"
8,EPYC 9224,24 / 48,Socket SP5,"Nov 10th, 2022"
9,EPYC 9254,24 / 48,Socket SP5,"Nov 10th, 2022"
10,EPYC 9274F,24 / 48,Socket SP5,"Nov 10th, 2022"
11,EPYC 9334,32 / 64,Socket SP5,"Nov 10th, 2022"
12,EPYC 9354,32 / 64,Socket SP5,"Nov 10th, 2022"
13,EPYC 9354P,32 / 64,Socket SP5,"Nov 10th, 2022"
14,EPYC 9374F,32 / 64,Socket SP5,"Nov 10th, 2022"
15,EPYC 9454,48 / 96,Socket SP5,"Nov 10th, 2022"
16,EPYC 9454P,48 / 96,Socket SP5,"Nov 10th, 2022"
17,EPYC 9474F,48 / 96,Socket SP5,"Nov 10th, 2022"
18,EPYC 9534,64 / 128,Socket SP5,"Nov 10th, 2022"
19,EPYC 9554,64 / 128,Socket SP5,"Nov 10th, 2022"
20,EPYC 9554P,64 / 128,Socket SP5,"Nov 10th, 2022"
21,EPYC 9634,84 / 168,Socket SP5,"Nov 10th, 2022"
22,EPYC 9654,96 / 192,Socket SP5,"Nov 10th, 2022"
23,EPYC 9654P,96 / 192,Socket SP5,"Nov 10th, 2022"
24,Ryzen 3 4100,4 / 8,Socket AM4,"Apr 4th, 2022"
25,Ryzen 3 5125C,2 / 4,Socket FP6,"May 5th, 2022"
26,Ryzen 3 5425C,4 / 8,Socket FP6,"May 5th, 2022"
27,Ryzen 3 5425U,4 / 8,Socket FP6,"Jan 6th, 2022"
28,Ryzen 3 7320U,4 / 8,Socket FP6,"Sep 20th, 2022"
29,Ryzen 3 PRO 5475U,4 / 8,Socket FP6,"Apr 19th, 2022"
30,Ryzen 5 4500,6 / 12,Socket AM4,"Apr 4th, 2022"
31,Ryzen 5 5500,6 / 12,Socket AM4,"Apr 4th, 2022"
32,Ryzen 5 5600,6 / 12,Socket AM4,"Apr 20th, 2022"
33,Ryzen 5 5625C,6 / 12,Socket FP6,"May 5th, 2022"
34,Ryzen 5 5625U,6 / 12,Socket FP6,"Jan 6th, 2022"
35,Ryzen 5 6600H,6 / 12,Socket FP7,Jan 2022
36,Ryzen 5 6600HS,6 / 12,Socket FP7,Jan 2022
37,Ryzen 5 6600U,6 / 12,Socket FP7,Jan 2022
38,Ryzen 5 7520U,4 / 8,Socket FP6,"Sep 20th, 2022"
39,Ryzen 5 7600X,6 / 12,Socket AM5,"Sep 27th, 2022"
40,Ryzen 5 PRO 5675U,6 / 12,Socket FP6,"Apr 19th, 2022"
41,Ryzen 5 PRO 6650H,6 / 12,Socket FP7,"Apr 19th, 2022"
42,Ryzen 5 PRO 6650HS,6 / 12,Socket FP7,"Apr 19th, 2022"
43,Ryzen 5 PRO 6650U,6 / 12,Socket FP7,"Apr 19th, 2022"
44,Ryzen 7 5700X,8 / 16,Socket AM4,"Apr 4th, 2022"
45,Ryzen 7 5800X3D,8 / 16,Socket AM4,"Apr 20th, 2022"
46,Ryzen 7 5825C,8 / 16,Socket FP6,"May 5th, 2022"
47,Ryzen 7 5825U,8 / 16,Socket FP6,"Jan 6th, 2022"
48,Ryzen 7 6800H,8 / 16,Socket FP7,Jan 2022
49,Ryzen 7 6800HS,8 / 16,Socket FP7,Jan 2022
50,Ryzen 7 6800U,8 / 16,Socket FP7,Jan 2022
51,Ryzen 7 7700X,8 / 16,Socket AM5,"Sep 27th, 2022"
52,Ryzen 7 PRO 5875U,8 / 16,Socket FP6,"Apr 19th, 2022"
53,Ryzen 7 PRO 6850H,8 / 16,Socket FP7,"Apr 19th, 2022"
54,Ryzen 7 PRO 6850HS,8 / 16,Socket FP7,"Apr 19th, 2022"
55,Ryzen 7 PRO 6850U,8 / 16,Socket FP7,"Apr 19th, 2022"
56,Ryzen 9 6900HS,8 / 16,Socket FP7,Jan 2022
57,Ryzen 9 6900HX,8 / 16,Socket FP7,Jan 2022
58,Ryzen 9 6980HS,8 / 16,Socket FP7,Jan 2022
59,Ryzen 9 6980HX,8 / 16,Socket FP7,Jan 2022
60,Ryzen 9 7900X,12 / 24,Socket AM5,"Sep 27th, 2022"
61,Ryzen 9 7950X,16 / 32,Socket AM5,"Sep 27th, 2022"
62,Ryzen 9 PRO 6950H,8 / 16,Socket FP7,"Apr 19th, 2022"
63,Ryzen 9 PRO 6950HS,8 / 16,Socket FP7,"Apr 19th, 2022"
64,Ryzen Threadripper 5990X,64 / 128,Socket TRX4,Never Released
65,Ryzen Threadripper PRO 5945WX,12 / 24,Socket WRX8,"Mar 8th, 2022"
66,Ryzen Threadripper PRO 5955WX,16 / 32,Socket WRX8,"Mar 8th, 2022"
67,Ryzen Threadripper PRO 5965WX,24 / 48,Socket WRX8,"Mar 8th, 2022"
68,Ryzen Threadripper PRO 5975WX,32 / 64,Socket WRX8,"Mar 8th, 2022"
69,Ryzen Threadripper PRO 5995WX,64 / 128,Socket WRX8,"Mar 8th, 2022"
